NUMERO;codigo;anterior;nuevo;proddescription;talla;cantidad;codigodebarra;regimen;linea;tipo;marca;deporte;edad;genero;ESTADDO;cantidad
005-000223;AJ9511;25627;26662;WOM GRAPH GLOVE;L;4;4056559137557;General;ACCESORIOS;GUANTES GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;1
005-000223;AJ9511;25628;26663;WOM GRAPH GLOVE;M;5;4056559137571;General;ACCESORIOS;GUANTES GYM;ADIDAS;TRAINNING;ADULTO;DAMA;;2
005-000223;AK2287;25675;26671;DAILY CAP;NS;6;4056561602265;General;ACCESORIOS;GORRO;ADIDAS;NOT SPORTS SPECIFIC;ADULTO;VARON;;2
005-000224;1254123-040;24239;26546;Blitzing II-GPH//BLK;L;5;888284860301;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;VARON;;1
005-000224;1262157-001;26484;26559;Men's Closer Update;L;3;888376973872;ZOFRA;ACCESORIOS;GORRO;UNDER ARMOUR;TRAINNING;ADULTO;VARON;;1
005-000224;MT53061BDW;24497;26726;ACCELERATE SHORT SLEEVE;L;2;888546904545;ZOFRA;TEXTIL;POLO;NEW BALANCE;RUNNING;ADULTO;VARON;;1
005-000224;MT53061BDW;24496;26727;ACCELERATE SHORT SLEEVE;M;4;888546904552;ZOFRA;TEXTIL;POLO;NEW BALANCE;RUNNING;ADULTO;VARON;;1
005-000224;MT53512HCG;26339;26759;NEW BALANCE POLO;L;3;888546904040;ZOFRA;TEXTIL;POLO;NEW BALANCE;CASUAL;ADULTO;VARON;;1
005-000224;MT53512HCG;26338;26760;NEW BALANCE POLO;M;2;888546904057;ZOFRA;TEXTIL;POLO;NEW BALANCE;CASUAL;ADULTO;VARON;;1
